,PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Is_male,FamilySize,Title
0,1,0,3,male,Adult,7.25,S,1,1,Mr
1,2,1,1,female,Adult,71.2833,C,0,1,Mrs
2,3,1,3,female,Adult,7.925,S,0,0,Miss
3,4,1,1,female,Adult,53.1,S,0,1,Mrs
4,5,0,3,male,Adult,8.05,S,1,0,Mr
5,6,0,3,male,Adult,8.4583,Q,1,0,Mr
6,7,0,1,male,Elder,51.8625,S,1,0,Mr
7,8,0,3,male,Child,21.075,S,1,4,Master
8,9,1,3,female,Adult,11.1333,S,0,2,Mrs
9,10,1,2,female,Adult,30.0708,C,0,1,Mrs
10,11,1,3,female,Child,16.7,S,0,2,Miss
11,12,1,1,female,Elder,26.55,S,0,0,Miss
12,13,0,3,male,Adult,8.05,S,1,0,Mr
13,14,0,3,male,Adult,31.275,S,1,6,Mr
14,15,0,3,female,Adult,7.8542,S,0,0,Miss
15,16,1,2,female,Elder,16.0,S,0,0,Mrs
16,17,0,3,male,Child,29.125,Q,1,5,Master
17,18,1,2,male,Adult,13.0,S,1,0,Mr
18,19,0,3,female,Adult,18.0,S,0,1,Mrs
19,20,1,3,female,Adult,7.225,C,0,0,Mrs
20,21,0,2,male,Adult,26.0,S,1,0,Mr
21,22,1,2,male,Adult,13.0,S,1,0,Mr
22,23,1,3,female,Adult,8.0292,Q,0,0,Miss
23,24,1,1,male,Adult,35.5,S,1,0,Mr
24,25,0,3,female,Child,21.075,S,0,4,Miss
25,26,1,3,female,Adult,31.3875,S,0,6,Mrs
26,27,0,3,male,Adult,7.225,C,1,0,Mr
27,28,0,1,male,Adult,263.0,S,1,5,Mr
28,29,1,3,female,Adult,7.8792,Q,0,0,Miss
29,30,0,3,male,Adult,7.8958,S,1,0,Mr
30,31,0,1,male,Adult,27.7208,C,1,0,Other
31,32,1,1,female,Adult,146.5208,C,0,1,Mrs
32,33,1,3,female,Adult,7.75,Q,0,0,Miss
33,34,0,2,male,Elder,10.5,S,1,0,Mr
34,35,0,1,male,Adult,82.1708,C,1,1,Mr
35,36,0,1,male,Adult,52.0,S,1,1,Mr
36,37,1,3,male,Adult,7.2292,C,1,0,Mr
37,38,0,3,male,Adult,8.05,S,1,0,Mr
38,39,0,3,female,Adult,18.0,S,0,2,Miss
39,40,1,3,female,Adult,11.2417,C,0,1,Miss
40,41,0,3,female,Adult,9.475,S,0,1,Mrs
41,42,0,2,female,Adult,21.0,S,0,1,Mrs
42,43,0,3,male,Adult,7.8958,C,1,0,Mr
43,44,1,2,female,Child,41.5792,C,0,3,Miss
44,45,1,3,female,Adult,7.8792,Q,0,0,Miss
45,46,0,3,male,Adult,8.05,S,1,0,Mr
46,47,0,3,male,Adult,15.5,Q,1,1,Mr
47,48,1,3,female,Adult,7.75,Q,0,0,Miss
48,49,0,3,male,Adult,21.6792,C,1,2,Mr
49,50,0,3,female,Adult,17.8,S,0,1,Mrs
50,51,0,3,male,Child,39.6875,S,1,5,Master
51,52,0,3,male,Adult,7.8,S,1,0,Mr
52,53,1,1,female,Adult,76.7292,C,0,1,Mrs
53,54,1,2,female,Adult,26.0,S,0,1,Mrs
54,55,0,1,male,Elder,61.9792,C,1,1,Mr
55,56,1,1,male,Adult,35.5,S,1,0,Mr
56,57,1,2,female,Adult,10.5,S,0,0,Miss
57,58,0,3,male,Adult,7.2292,C,1,0,Mr
58,59,1,2,female,Child,27.75,S,0,3,Miss
59,60,0,3,male,Child,46.9,S,1,7,Master
60,61,0,3,male,Adult,7.2292,C,1,0,Mr
61,62,1,1,female,Adult,80.0,,0,0,Miss
62,63,0,1,male,Adult,83.475,S,1,1,Mr
63,64,0,3,male,Child,27.9,S,1,5,Master
64,65,0,1,male,Adult,27.7208,C,1,0,Mr
65,66,1,3,male,Child,15.2458,C,1,2,Master
66,67,1,2,female,Adult,10.5,S,0,0,Mrs
67,68,0,3,male,Adult,8.1583,S,1,0,Mr
68,69,1,3,female,Adult,7.925,S,0,6,Miss
69,70,0,3,male,Adult,8.6625,S,1,2,Mr
70,71,0,2,male,Adult,10.5,S,1,0,Mr
71,72,0,3,female,Adult,46.9,S,0,7,Miss
72,73,0,2,male,Adult,73.5,S,1,0,Mr
73,74,0,3,male,Adult,14.4542,C,1,1,Mr
74,75,1,3,male,Adult,56.4958,S,1,0,Mr
75,76,0,3,male,Adult,7.65,S,1,0,Mr
76,77,0,3,male,Adult,7.8958,S,1,0,Mr
77,78,0,3,male,Adult,8.05,S,1,0,Mr
78,79,1,2,male,,29.0,S,1,2,Master
79,80,1,3,female,Adult,12.475,S,0,0,Miss
80,81,0,3,male,Adult,9.0,S,1,0,Mr
81,82,1,3,male,Adult,9.5,S,1,0,Mr
82,83,1,3,female,Adult,7.7875,Q,0,0,Miss
83,84,0,1,male,Adult,47.1,S,1,0,Mr
84,85,1,2,female,Adult,10.5,S,0,0,Miss
85,86,1,3,female,Adult,15.85,S,0,3,Mrs
86,87,0,3,male,Adult,34.375,S,1,4,Mr
87,88,0,3,male,Adult,8.05,S,1,0,Mr
88,89,1,1,female,Adult,263.0,S,0,5,Miss
89,90,0,3,male,Adult,8.05,S,1,0,Mr
90,91,0,3,male,Adult,8.05,S,1,0,Mr
91,92,0,3,male,Adult,7.8542,S,1,0,Mr
92,93,0,1,male,Adult,61.175,S,1,1,Mr
93,94,0,3,male,Adult,20.575,S,1,3,Mr
94,95,0,3,male,Elder,7.25,S,1,0,Mr
95,96,0,3,male,Adult,8.05,S,1,0,Mr
96,97,0,1,male,Elder,34.6542,C,1,0,Mr
97,98,1,1,male,Adult,63.3583,C,1,1,Mr
98,99,1,2,female,Adult,23.0,S,0,1,Mrs
99,100,0,2,male,Adult,26.0,S,1,1,Mr
100,101,0,3,female,Adult,7.8958,S,0,0,Miss
101,102,0,3,male,Adult,7.8958,S,1,0,Mr
102,103,0,1,male,Adult,77.2875,S,1,1,Mr
103,104,0,3,male,Adult,8.6542,S,1,0,Mr
104,105,0,3,male,Adult,7.925,S,1,2,Mr
105,106,0,3,male,Adult,7.8958,S,1,0,Mr
106,107,1,3,female,Adult,7.65,S,0,0,Miss
107,108,1,3,male,Adult,7.775,S,1,0,Mr
108,109,0,3,male,Adult,7.8958,S,1,0,Mr
109,110,1,3,female,Adult,24.15,Q,0,1,Miss
110,111,0,1,male,Adult,52.0,S,1,0,Mr
111,112,0,3,female,Adult,14.4542,C,0,1,Miss
112,113,0,3,male,Adult,8.05,S,1,0,Mr
113,114,0,3,female,Adult,9.825,S,0,1,Miss
114,115,0,3,female,Adult,14.4583,C,0,0,Miss
115,116,0,3,male,Adult,7.925,S,1,0,Mr
116,117,0,3,male,Elder,7.75,Q,1,0,Mr
117,118,0,2,male,Adult,21.0,S,1,1,Mr
118,119,0,1,male,Adult,247.5208,C,1,1,Mr
119,120,0,3,female,Child,31.275,S,0,6,Miss
120,121,0,2,male,Adult,73.5,S,1,2,Mr
121,122,0,3,male,Adult,8.05,S,1,0,Mr
122,123,0,2,male,Adult,30.0708,C,1,1,Mr
123,124,1,2,female,Adult,13.0,S,0,0,Miss
124,125,0,1,male,Elder,77.2875,S,1,1,Mr
125,126,1,3,male,Child,11.2417,C,1,1,Master
126,127,0,3,male,Adult,7.75,Q,1,0,Mr
127,128,1,3,male,Adult,7.1417,S,1,0,Mr
128,129,1,3,female,Adult,22.3583,C,0,2,Miss
129,130,0,3,male,Adult,6.975,S,1,0,Mr
130,131,0,3,male,Adult,7.8958,C,1,0,Mr
131,132,0,3,male,Adult,7.05,S,1,0,Mr
132,133,0,3,female,Adult,14.5,S,0,1,Mrs
133,134,1,2,female,Adult,26.0,S,0,1,Mrs
134,135,0,2,male,Adult,13.0,S,1,0,Mr
135,136,0,2,male,Adult,15.0458,C,1,0,Mr
136,137,1,1,female,Adult,26.2833,S,0,2,Miss
137,138,0,1,male,Adult,53.1,S,1,1,Mr
138,139,0,3,male,Adult,9.2167,S,1,0,Mr
139,140,0,1,male,Adult,79.2,C,1,0,Mr
140,141,0,3,female,Adult,15.2458,C,0,2,Mrs
141,142,1,3,female,Adult,7.75,S,0,0,Miss
142,143,1,3,female,Adult,15.85,S,0,1,Mrs
143,144,0,3,male,Adult,6.75,Q,1,0,Mr
144,145,0,2,male,Adult,11.5,S,1,0,Mr
145,146,0,2,male,Adult,36.75,S,1,2,Mr
146,147,1,3,male,Adult,7.7958,S,1,0,Mr
147,148,0,3,female,Child,34.375,S,0,4,Miss
148,149,0,2,male,Adult,26.0,S,1,2,Mr
149,150,0,2,male,Adult,13.0,S,1,0,Other
150,151,0,2,male,Elder,12.525,S,1,0,Other
151,152,1,1,female,Adult,66.6,S,0,1,Mrs
152,153,0,3,male,Elder,8.05,S,1,0,Mr
153,154,0,3,male,Adult,14.5,S,1,2,Mr
154,155,0,3,male,Adult,7.3125,S,1,0,Mr
155,156,0,1,male,Elder,61.3792,C,1,1,Mr
156,157,1,3,female,Adult,7.7333,Q,0,0,Miss
157,158,0,3,male,Adult,8.05,S,1,0,Mr
158,159,0,3,male,Adult,8.6625,S,1,0,Mr
159,160,0,3,male,Child,69.55,S,1,10,Master
160,161,0,3,male,Adult,16.1,S,1,1,Mr
161,162,1,2,female,Adult,15.75,S,0,0,Mrs
162,163,0,3,male,Adult,7.775,S,1,0,Mr
163,164,0,3,male,Adult,8.6625,S,1,0,Mr
164,165,0,3,male,,39.6875,S,1,5,Master
165,166,1,3,male,Child,20.525,S,1,2,Master
166,167,1,1,female,Adult,55.0,S,0,1,Mrs
167,168,0,3,female,Adult,27.9,S,0,5,Mrs
168,169,0,1,male,Adult,25.925,S,1,0,Mr
169,170,0,3,male,Adult,56.4958,S,1,0,Mr
170,171,0,1,male,Elder,33.5,S,1,0,Mr
171,172,0,3,male,Child,29.125,Q,1,5,Master
172,173,1,3,female,,11.1333,S,0,2,Miss
173,174,0,3,male,Adult,7.925,S,1,0,Mr
174,175,0,1,male,Elder,30.6958,C,1,0,Mr
175,176,0,3,male,Adult,7.8542,S,1,2,Mr
176,177,0,3,male,Child,25.4667,S,1,4,Master
177,178,0,1,female,Adult,28.7125,C,0,0,Miss
178,179,0,2,male,Adult,13.0,S,1,0,Mr
179,180,0,3,male,Adult,0.0,S,1,0,Mr
180,181,0,3,female,Adult,69.55,S,0,10,Miss
181,182,0,2,male,Adult,15.05,C,1,0,Mr
182,183,0,3,male,Child,31.3875,S,1,6,Master
183,184,1,2,male,,39.0,S,1,3,Master
184,185,1,3,female,Child,22.025,S,0,2,Miss
185,186,0,1,male,Adult,50.0,S,1,0,Mr
186,187,1,3,female,Adult,15.5,Q,0,1,Mrs
187,188,1,1,male,Adult,26.55,S,1,0,Mr
188,189,0,3,male,Adult,15.5,Q,1,2,Mr
189,190,0,3,male,Adult,7.8958,S,1,0,Mr
190,191,1,2,female,Adult,13.0,S,0,0,Mrs
191,192,0,2,male,Adult,13.0,S,1,0,Mr
192,193,1,3,female,Adult,7.8542,S,0,1,Miss
193,194,1,2,male,Child,26.0,S,1,2,Master
194,195,1,1,female,Adult,27.7208,C,0,0,Mrs
195,196,1,1,female,Elder,146.5208,C,0,0,Miss
196,197,0,3,male,Adult,7.75,Q,1,0,Mr
197,198,0,3,male,Adult,8.4042,S,1,1,Mr
198,199,1,3,female,Adult,7.75,Q,0,0,Miss
199,200,0,2,female,Adult,13.0,S,0,0,Miss
200,201,0,3,male,Adult,9.5,S,1,0,Mr
201,202,0,3,male,Adult,69.55,S,1,10,Mr
202,203,0,3,male,Adult,6.4958,S,1,0,Mr
203,204,0,3,male,Adult,7.225,C,1,0,Mr
204,205,1,3,male,Adult,8.05,S,1,0,Mr
205,206,0,3,female,Child,10.4625,S,0,1,Miss
206,207,0,3,male,Adult,15.85,S,1,1,Mr
207,208,1,3,male,Adult,18.7875,C,1,0,Mr
208,209,1,3,female,Adult,7.75,Q,0,0,Miss
209,210,1,1,male,Adult,31.0,C,1,0,Mr
210,211,0,3,male,Adult,7.05,S,1,0,Mr
211,212,1,2,female,Adult,21.0,S,0,0,Miss
212,213,0,3,male,Adult,7.25,S,1,0,Mr
213,214,0,2,male,Adult,13.0,S,1,0,Mr
214,215,0,3,male,Adult,7.75,Q,1,1,Mr
215,216,1,1,female,Adult,113.275,C,0,1,Miss
216,217,1,3,female,Adult,7.925,S,0,0,Miss
217,218,0,2,male,Adult,27.0,S,1,1,Mr
218,219,1,1,female,Adult,76.2917,C,0,0,Miss
219,220,0,2,male,Adult,10.5,S,1,0,Mr
220,221,1,3,male,Adult,8.05,S,1,0,Mr
221,222,0,2,male,Adult,13.0,S,1,0,Mr
222,223,0,3,male,Elder,8.05,S,1,0,Mr
223,224,0,3,male,Adult,7.8958,S,1,0,Mr
224,225,1,1,male,Adult,90.0,S,1,1,Mr
225,226,0,3,male,Adult,9.35,S,1,0,Mr
226,227,1,2,male,Adult,10.5,S,1,0,Mr
227,228,0,3,male,Adult,7.25,S,1,0,Mr
228,229,0,2,male,Adult,13.0,S,1,0,Mr
229,230,0,3,female,Adult,25.4667,S,0,4,Miss
230,231,1,1,female,Adult,83.475,S,0,1,Mrs
231,232,0,3,male,Adult,7.775,S,1,0,Mr
232,233,0,2,male,Elder,13.5,S,1,0,Mr
233,234,1,3,female,Child,31.3875,S,0,6,Miss
234,235,0,2,male,Adult,10.5,S,1,0,Mr
235,236,0,3,female,Adult,7.55,S,0,0,Miss
236,237,0,2,male,Adult,26.0,S,1,1,Mr
237,238,1,2,female,Child,26.25,S,0,2,Miss
238,239,0,2,male,Adult,10.5,S,1,0,Mr
239,240,0,2,male,Adult,12.275,S,1,0,Mr
240,241,0,3,female,Adult,14.4542,C,0,1,Miss
241,242,1,3,female,Adult,15.5,Q,0,1,Miss
242,243,0,2,male,Adult,10.5,S,1,0,Mr
243,244,0,3,male,Adult,7.125,S,1,0,Mr
244,245,0,3,male,Adult,7.225,C,1,0,Mr
245,246,0,1,male,Adult,90.0,Q,1,2,Other
246,247,0,3,female,Adult,7.775,S,0,0,Miss
247,248,1,2,female,Adult,14.5,S,0,2,Mrs
248,249,1,1,male,Adult,52.5542,S,1,2,Mr
249,250,0,2,male,Elder,26.0,S,1,1,Other
250,251,0,3,male,Adult,7.25,S,1,0,Mr
251,252,0,3,female,Adult,10.4625,S,0,2,Mrs
252,253,0,1,male,Elder,26.55,S,1,0,Mr
253,254,0,3,male,Adult,16.1,S,1,1,Mr
254,255,0,3,female,Adult,20.2125,S,0,2,Mrs
255,256,1,3,female,Adult,15.2458,C,0,2,Mrs
256,257,1,1,female,Adult,79.2,C,0,0,Mrs
257,258,1,1,female,Adult,86.5,S,0,0,Miss
258,259,1,1,female,Adult,512.3292,C,0,0,Miss
259,260,1,2,female,Adult,26.0,S,0,1,Mrs
260,261,0,3,male,Adult,7.75,Q,1,0,Mr
261,262,1,3,male,Child,31.3875,S,1,6,Master
262,263,0,1,male,Elder,79.65,S,1,2,Mr
263,264,0,1,male,Adult,0.0,S,1,0,Mr
264,265,0,3,female,Adult,7.75,Q,0,0,Miss
265,266,0,2,male,Adult,10.5,S,1,0,Mr
266,267,0,3,male,Adult,39.6875,S,1,5,Mr
267,268,1,3,male,Adult,7.775,S,1,1,Mr
268,269,1,1,female,Elder,153.4625,S,0,1,Mrs
269,270,1,1,female,Adult,135.6333,S,0,0,Miss
270,271,0,1,male,Adult,31.0,S,1,0,Mr
271,272,1,3,male,Adult,0.0,S,1,0,Mr
272,273,1,2,female,Adult,19.5,S,0,1,Mrs
273,274,0,1,male,Adult,29.7,C,1,1,Mr
274,275,1,3,female,Adult,7.75,Q,0,0,Miss
275,276,1,1,female,Elder,77.9583,S,0,1,Miss
276,277,0,3,female,Adult,7.75,S,0,0,Miss
277,278,0,2,male,Adult,0.0,S,1,0,Mr
278,279,0,3,male,Child,29.125,Q,1,5,Master
279,280,1,3,female,Adult,20.25,S,0,2,Mrs
280,281,0,3,male,Elder,7.75,Q,1,0,Mr
281,282,0,3,male,Adult,7.8542,S,1,0,Mr
282,283,0,3,male,Adult,9.5,S,1,0,Mr
283,284,1,3,male,Adult,8.05,S,1,0,Mr
284,285,0,1,male,Adult,26.0,S,1,0,Mr
285,286,0,3,male,Adult,8.6625,C,1,0,Mr
286,287,1,3,male,Adult,9.5,S,1,0,Mr
287,288,0,3,male,Adult,7.8958,S,1,0,Mr
288,289,1,2,male,Adult,13.0,S,1,0,Mr
289,290,1,3,female,Adult,7.75,Q,0,0,Miss
290,291,1,1,female,Adult,78.85,S,0,0,Miss
291,292,1,1,female,Adult,91.0792,C,0,1,Mrs
292,293,0,2,male,Adult,12.875,C,1,0,Mr
293,294,0,3,female,Adult,8.85,S,0,0,Miss
294,295,0,3,male,Adult,7.8958,S,1,0,Mr
295,296,0,1,male,Adult,27.7208,C,1,0,Mr
296,297,0,3,male,Adult,7.2292,C,1,0,Mr
297,298,0,1,female,Child,151.55,S,0,3,Miss
298,299,1,1,male,Adult,30.5,S,1,0,Mr
299,300,1,1,female,Adult,247.5208,C,0,1,Mrs
300,301,1,3,female,Adult,7.75,Q,0,0,Miss
301,302,1,3,male,Adult,23.25,Q,1,2,Mr
302,303,0,3,male,Adult,0.0,S,1,0,Mr
303,304,1,2,female,Adult,12.35,Q,0,0,Miss
304,305,0,3,male,Adult,8.05,S,1,0,Mr
305,306,1,1,male,,151.55,S,1,3,Master
306,307,1,1,female,Adult,110.8833,C,0,0,Miss
307,308,1,1,female,Adult,108.9,C,0,1,Mrs
308,309,0,2,male,Adult,24.0,C,1,1,Mr
309,310,1,1,female,Adult,56.9292,C,0,0,Miss
310,311,1,1,female,Adult,83.1583,C,0,0,Miss
311,312,1,1,female,Adult,262.375,C,0,4,Miss
312,313,0,2,female,Adult,26.0,S,0,2,Mrs
313,314,0,3,male,Adult,7.8958,S,1,0,Mr
314,315,0,2,male,Adult,26.25,S,1,2,Mr
315,316,1,3,female,Adult,7.8542,S,0,0,Miss
316,317,1,2,female,Adult,26.0,S,0,1,Mrs
317,318,0,2,male,Elder,14.0,S,1,0,Other
318,319,1,1,female,Adult,164.8667,S,0,2,Miss
319,320,1,1,female,Adult,134.5,C,0,2,Mrs
320,321,0,3,male,Adult,7.25,S,1,0,Mr
321,322,0,3,male,Adult,7.8958,S,1,0,Mr
322,323,1,2,female,Adult,12.35,Q,0,0,Miss
323,324,1,2,female,Adult,29.0,S,0,2,Mrs
324,325,0,3,male,Adult,69.55,S,1,10,Mr
325,326,1,1,female,Adult,135.6333,C,0,0,Miss
326,327,0,3,male,Elder,6.2375,S,1,0,Mr
327,328,1,2,female,Adult,13.0,S,0,0,Mrs
328,329,1,3,female,Adult,20.525,S,0,2,Mrs
329,330,1,1,female,Adult,57.9792,C,0,1,Miss
330,331,1,3,female,Adult,23.25,Q,0,2,Miss
331,332,0,1,male,Adult,28.5,S,1,0,Mr
332,333,0,1,male,Adult,153.4625,S,1,1,Mr
333,334,0,3,male,Adult,18.0,S,1,2,Mr
334,335,1,1,female,Adult,133.65,S,0,1,Mrs
335,336,0,3,male,Adult,7.8958,S,1,0,Mr
336,337,0,1,male,Adult,66.6,S,1,1,Mr
337,338,1,1,female,Adult,134.5,C,0,0,Miss
338,339,1,3,male,Adult,8.05,S,1,0,Mr
339,340,0,1,male,Adult,35.5,S,1,0,Mr
340,341,1,2,male,Child,26.0,S,1,2,Master
341,342,1,1,female,Adult,263.0,S,0,5,Miss
342,343,0,2,male,Adult,13.0,S,1,0,Mr
343,344,0,2,male,Adult,13.0,S,1,0,Mr
344,345,0,2,male,Adult,13.0,S,1,0,Mr
345,346,1,2,female,Adult,13.0,S,0,0,Miss
346,347,1,2,female,Adult,13.0,S,0,0,Miss
347,348,1,3,female,Adult,16.1,S,0,1,Mrs
348,349,1,3,male,Child,15.9,S,1,2,Master
349,350,0,3,male,Adult,8.6625,S,1,0,Mr
350,351,0,3,male,Adult,9.225,S,1,0,Mr
351,352,0,1,male,Adult,35.0,S,1,0,Mr
352,353,0,3,male,Adult,7.2292,C,1,2,Mr
353,354,0,3,male,Adult,17.8,S,1,1,Mr
354,355,0,3,male,Adult,7.225,C,1,0,Mr
355,356,0,3,male,Adult,9.5,S,1,0,Mr
356,357,1,1,female,Adult,55.0,S,0,1,Miss
357,358,0,2,female,Adult,13.0,S,0,0,Miss
358,359,1,3,female,Adult,7.8792,Q,0,0,Miss
359,360,1,3,female,Adult,7.8792,Q,0,0,Miss
360,361,0,3,male,Adult,27.9,S,1,5,Mr
361,362,0,2,male,Adult,27.7208,C,1,1,Mr
362,363,0,3,female,Adult,14.4542,C,0,1,Mrs
363,364,0,3,male,Adult,7.05,S,1,0,Mr
364,365,0,3,male,Adult,15.5,Q,1,1,Mr
365,366,0,3,male,Adult,7.25,S,1,0,Mr
366,367,1,1,female,Elder,75.25,C,0,1,Mrs
367,368,1,3,female,Adult,7.2292,C,0,0,Mrs
368,369,1,3,female,Adult,7.75,Q,0,0,Miss
369,370,1,1,female,Adult,69.3,C,0,0,Mrs
370,371,1,1,male,Adult,55.4417,C,1,1,Mr
371,372,0,3,male,Adult,6.4958,S,1,1,Mr
372,373,0,3,male,Adult,8.05,S,1,0,Mr
373,374,0,1,male,Adult,135.6333,C,1,0,Mr
374,375,0,3,female,Child,21.075,S,0,4,Miss
375,376,1,1,female,Adult,82.1708,C,0,1,Mrs
376,377,1,3,female,Adult,7.25,S,0,0,Miss
377,378,0,1,male,Adult,211.5,C,1,2,Mr
378,379,0,3,male,Adult,4.0125,C,1,0,Mr
379,380,0,3,male,Adult,7.775,S,1,0,Mr
380,381,1,1,female,Adult,227.525,C,0,0,Miss
381,382,1,3,female,,15.7417,C,0,2,Miss
382,383,0,3,male,Adult,7.925,S,1,0,Mr
383,384,1,1,female,Adult,52.0,S,0,1,Mrs
384,385,0,3,male,Adult,7.8958,S,1,0,Mr
385,386,0,2,male,Adult,73.5,S,1,0,Mr
386,387,0,3,male,,46.9,S,1,7,Master
387,388,1,2,female,Adult,13.0,S,0,0,Miss
388,389,0,3,male,Adult,7.7292,Q,1,0,Mr
389,390,1,2,female,Adult,12.0,C,0,0,Miss
390,391,1,1,male,Adult,120.0,S,1,3,Mr
391,392,1,3,male,Adult,7.7958,S,1,0,Mr
392,393,0,3,male,Adult,7.925,S,1,2,Mr
393,394,1,1,female,Adult,113.275,C,0,1,Miss
394,395,1,3,female,Adult,16.7,S,0,2,Mrs
395,396,0,3,male,Adult,7.7958,S,1,0,Mr
396,397,0,3,female,Adult,7.8542,S,0,0,Miss
397,398,0,2,male,Adult,26.0,S,1,0,Mr
398,399,0,2,male,Adult,10.5,S,1,0,Other
399,400,1,2,female,Adult,12.65,S,0,0,Mrs
400,401,1,3,male,Adult,7.925,S,1,0,Mr
401,402,0,3,male,Adult,8.05,S,1,0,Mr
402,403,0,3,female,Adult,9.825,S,0,1,Miss
403,404,0,3,male,Adult,15.85,S,1,1,Mr
404,405,0,3,female,Adult,8.6625,S,0,0,Miss
405,406,0,2,male,Adult,21.0,S,1,1,Mr
406,407,0,3,male,Elder,7.75,S,1,0,Mr
407,408,1,2,male,Child,18.75,S,1,2,Master
408,409,0,3,male,Adult,7.775,S,1,0,Mr
409,410,0,3,female,Adult,25.4667,S,0,4,Miss
410,411,0,3,male,Adult,7.8958,S,1,0,Mr
411,412,0,3,male,Adult,6.8583,Q,1,0,Mr
412,413,1,1,female,Adult,90.0,Q,0,1,Miss
413,414,0,2,male,Adult,0.0,S,1,0,Mr
414,415,1,3,male,Adult,7.925,S,1,0,Mr
415,416,0,3,female,Adult,8.05,S,0,0,Mrs
416,417,1,2,female,Adult,32.5,S,0,2,Mrs
417,418,1,2,female,Adult,13.0,S,0,2,Miss
418,419,0,2,male,Adult,13.0,S,1,0,Mr
419,420,0,3,female,Child,24.15,S,0,2,Miss
420,421,0,3,male,Adult,7.8958,C,1,0,Mr
421,422,0,3,male,Adult,7.7333,Q,1,0,Mr
422,423,0,3,male,Adult,7.875,S,1,0,Mr
423,424,0,3,female,Adult,14.4,S,0,2,Mrs
424,425,0,3,male,Adult,20.2125,S,1,2,Mr
425,426,0,3,male,Adult,7.25,S,1,0,Mr
426,427,1,2,female,Adult,26.0,S,0,1,Mrs
427,428,1,2,female,Adult,26.0,S,0,0,Miss
428,429,0,3,male,Adult,7.75,Q,1,0,Mr
429,430,1,3,male,Adult,8.05,S,1,0,Mr
430,431,1,1,male,Adult,26.55,S,1,0,Mr
431,432,1,3,female,Adult,16.1,S,0,1,Mrs
432,433,1,2,female,Adult,26.0,S,0,1,Mrs
433,434,0,3,male,Adult,7.125,S,1,0,Mr
434,435,0,1,male,Adult,55.9,S,1,1,Mr
435,436,1,1,female,Adult,120.0,S,0,3,Miss
436,437,0,3,female,Adult,34.375,S,0,4,Miss
437,438,1,2,female,Adult,18.75,S,0,5,Mrs
438,439,0,1,male,Elder,263.0,S,1,5,Mr
439,440,0,2,male,Adult,10.5,S,1,0,Mr
440,441,1,2,female,Adult,26.25,S,0,2,Mrs
441,442,0,3,male,Adult,9.5,S,1,0,Mr
442,443,0,3,male,Adult,7.775,S,1,1,Mr
443,444,1,2,female,Adult,13.0,S,0,0,Miss
444,445,1,3,male,Adult,8.1125,S,1,0,Mr
